user_id,touchpoint,touchpoint_id,position,converted,journey_id,conversion_probability,timestamp
0,search,2,0,False,1,0.0288,2023-01-19 10:00:00
0,retargeting,3,1,False,1,0.033280000000000004,2023-01-20 07:00:00
0,email,0,2,False,1,0.0128,2023-01-21 17:00:00
0,retargeting,3,3,False,1,0.027216,2023-01-22 10:00:00
0,retargeting,3,4,False,1,0.014696640000000004,2023-01-23 10:00:00
0,social,1,0,False,2,0.01152,2023-08-30 10:00:00
0,search,2,1,False,2,0.020736,2023-08-31 08:00:00
0,retargeting,3,2,False,2,0.049920000000000006,2023-09-01 15:00:00
0,search,2,3,False,2,0.06220800000000001,2023-09-02 01:00:00
0,retargeting,3,4,False,2,0.033696000000000004,2023-09-03 01:00:00
0,retargeting,3,5,False,2,0.027293760000000007,2023-09-04 11:00:00
0,retargeting,3,6,False,2,0.010713850560000002,2023-09-05 07:00:00
0,social,1,7,False,2,0.0019284931008000004,2023-09-06 08:00:00
0,email,0,8,False,2,0.0336,2023-09-07 11:00:00
0,search,2,0,False,3,0.0288,2023-06-25 19:00:00
0,retargeting,3,0,False,4,0.0032,2023-07-13 14:00:00
0,retargeting,3,1,False,4,0.016128000000000003,2023-07-14 11:00:00
0,retargeting,3,2,False,4,0.01959552,2023-07-15 04:00:00
1,email,0,0,False,5,0.006999999999999999,2023-04-20 13:00:00
1,email,0,0,False,6,0.006999999999999999,2023-02-05 12:00:00
1,direct,4,1,True,6,0.25,2023-02-06 03:00:00
1,retargeting,3,0,False,7,0.00448,2023-12-31 15:00:00
1,retargeting,3,1,False,7,0.022579199999999997,2024-01-01 04:00:00
1,direct,4,2,False,7,0.25,2024-01-02 03:00:00
1,search,2,3,True,7,0.312,2024-01-03 20:00:00
1,search,2,0,True,8,0.11699999999999999,2023-07-17 11:00:00
2,search,2,0,False,9,0.060480000000000006,2023-12-09 07:00:00
2,email,0,1,False,9,0.009830400000000003,2023-12-10 13:00:00
2,direct,4,2,False,9,0.03200000000000001,2023-12-11 14:00:00
2,retargeting,3,3,True,9,0.1512,2023-12-12 10:00:00
3,social,1,0,False,10,0.02592,2023-04-20 21:00:00
4,search,2,0,False,11,0.4563,2023-04-21 00:00:00
4,email,0,1,False,11,0.016128000000000003,2023-04-22 16:00:00
4,social,1,2,False,11,0.2592,2023-04-23 01:00:00
4,social,1,3,False,11,0.20411999999999997,2023-04-24 19:00:00
4,email,0,4,False,11,0.025719119999999998,2023-04-25 05:00:00
4,email,0,5,False,11,0.020832487199999996,2023-04-26 07:00:00
4,direct,4,6,False,11,0.065,2023-04-27 15:00:00
4,search,2,7,False,11,0.1374955315461,2023-04-28 18:00:00
4,direct,4,8,False,11,0.05265,2023-04-29 00:00:00
4,direct,4,9,False,11,0.04264650000000001,2023-04-30 02:00:00
4,search,2,0,True,12,0.4563,2023-07-31 12:00:00
4,direct,4,0,False,13,0.065,2023-06-20 12:00:00
4,direct,4,1,False,13,0.0585,2023-06-21 12:00:00
